Fund,Fund ID,Fund Description,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,County's Share of Bond Costs ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,County's Share of Traffic Fines ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,City's Share of Traffic Fines ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,State's Share of Traffic Fines ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Victims Assistance ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Automation Fee ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Traffic Violation Fees ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Surcharges ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Court Security Fee ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Probation Fees ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Traffic School Fees ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Trauma Center Fund ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Miscellaneous/Interest ,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,133,Circuit Clerk - Bond Trust Fund,Circuit Clerk - Bond Trust Fund,Child Support & Small Claims,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"116,123","149,048",,"166,732","216,221","87,327","52,732","50,617",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,135,Interest on Real Estate Taxes,Interest on Real Estate Taxes,Distribution to Taxing Bodies,,,County Tax Expenses,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,664","88,561",,"134,154","152,552","143,057","176,449","115,491",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,136,States Attorney Escrow Fund,States Attorney Escrow Fund,Restitution Settlements,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,083","8,712",,"8,103","7,893","9,176","11,746","2,750",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,136,States Attorney Escrow Fund,States Attorney Escrow Fund,Grant Dispursements,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"6,805",56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Circuit Clerk,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Equipment,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Membership Fees,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Service Charge,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Capital Outlay,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Miscellaneous,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Transcripts,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,138,Circuit Clerk - Special Fund,Circuit Clerk - Special Fund,Court Orders,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80,418","18,013",,"815,312","3,826","113,250",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,139,Preservation Fund,Preservation Fund,Expenditures,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,735",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,140,Base Materials Fund,Base Materials Fund,Expenditures,,,County Highway Engineer,0,"345,000",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,141,Trustee Payment Account,Trustee Payment Account,Miscellaneous Dispersements,,,County Tax Expenses,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,"91,603","33,307","42,914",0,0,0,0,0,0,0,0,0,0,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Equipment,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Membership Fees,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Service Charge,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Capital Outlay,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Miscellaneous,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Purpose Fund,2,,137,States Attorney - Section 1655 Forfeiture Fund,States Attorney - Section 1655 Forfeiture Fund,Transcripts,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
