Fund,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,
Special Purpose Fund,2,84,Court Automation Fund,Court Automation Fund,"Books, Transcripts, & Periodicals",,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,473,3000,1168,1645,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,473,50,503,772,,
Special Purpose Fund,2,84,Court Automation Fund,Court Automation Fund,Capital Outlay,,,Circuit Clerk,0,0,,0,0,0,12384,12384,12384,12384,13384,26444,28000,39637,20083,28625,18302,42008,,,0,0,,0,0,0,0,9507,5984,0,5096,2263,11052,13933,9149,4684,18169,42009,,
Special Purpose Fund,2,85,Probation Fees Fund,Probation Fees Fund,Salaries,,,Chief Probation and Court Services Officer,0,0,,0,0,0,0,0,0,0,0,0,0,0,52771,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,10671,0,0,0,,
Special Purpose Fund,2,85,Probation Fees Fund,Probation Fees Fund,Supplies,,,Chief Probation and Court Services Officer,0,0,,0,0,12000,10000,12000,19200,10000,16000,14360,12330,62144,55473,17000,73963,72334,,,0,0,,0,0,10918,9244,6193,14231,7673,12691,13062,12347,12144,12881,14546,7416,12395,,
Special Purpose Fund,2,85,Probation Fees Fund,Probation Fees Fund,Repairs,,,Chief Probation and Court Services Officer,0,0,,0,0,0,0,0,0,0,0,19800,9670,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,6571,0,0,0,0,0,,
Special Purpose Fund,2,85,Probation Fees Fund,Probation Fees Fund,Counseling,,,Chief Probation and Court Services Officer,0,0,,0,0,0,0,0,0,0,0,30640,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,30640,0,0,0,0,0,0,,
Special Purpose Fund,2,85,Probation Fees Fund,Probation Fees Fund,Administration,,,Chief Probation and Court Services Officer,0,0,,0,0,0,0,25000,27153,13553,1200,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,14968,20498,4341,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,85,Probation Fees Fund,Probation Fees Fund,Travel,,,Chief Probation and Court Services Officer,0,0,,0,0,20000,5000,15000,5500,4400,6000,5200,5000,8000,8000,4000,3037,8500,,,0,0,,0,0,3692,3854,1031,3102,4054,4270,5143,4915,5601,4584,3151,3036,8168,,
Special Purpose Fund,2,85,Probation Fees Fund,Probation Fees Fund,Equipment,,,Chief Probation and Court Services Officer,0,0,,0,0,25000,42000,20000,56284,71600,57000,10000,15000,28000,27000,13000,5000,33500,,,0,0,,0,0,7715,35949,11194,48988,53310,49934,9456,4571,16090,9414,415,4488,2308,,
Special Purpose Fund,2,85,Probation Fees Fund,Probation Fees Fund,Miscellaneous,,,Chief Probation and Court Services Officer,0,0,,0,0,0,0,0,0,0,0,0,40000,33856,30856,188365,24000,42666,,,0,0,,0,0,0,0,0,0,0,0,0,34890,19520,22135,19094,19955,36519,,
Special Purpose Fund,2,86,Coroner's Fee,Coroner's Fee,General Government,,,Coroner,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9639,,
Special Purpose Fund,2,86,Special Purpose Fund,Special Purpose Fund,Public Safety,,,Coroner,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2109,0,,
Special Purpose Fund,2,87,Traffic Violation Fee Account,Traffic Violation Fee Account,Commodities,,,Presiding Circuit Judge,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,87,Traffic Violation Fee Account,Traffic Violation Fee Account,Supplies,,,Presiding Circuit Judge,45000,45000,,20000,20000,20000,20000,50000,50000,50000,50000,50000,93000,81055,17000,1200,0,0,,,30924,31424,,9053,1203,414,115,38250,2440,7849,13757,25717,43536,66474,0,0,0,0,,
Health Fund,4,88,County Health Department - ILCHS,County Health Department - ILCHS,Health & Welfare,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,105000,7500,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,49529,1968,0,0,0,,
Special Purpose Fund,2,89,Animal Control Building Fund,Animal Control Building Fund,Public Safety,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,9677,0,0,0,0,,
Special Purpose Fund,2,90,Circuit Clerk OP Fund,Circuit Clerk OP Fund,Judiciary,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,1332,0,280,760,,
Special Purpose Fund,2,91,Crime Victims Fund,Crime Victims Fund,Miscellaneous,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,65,2604,0,,
Special Purpose Fund,2,91,Crime Victims Fund,Crime Victims Fund,Contractual Services,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,100,23800,25000,25000,0,0,0,,,0,20330,,14790,3023,2723,64000,25896,5295,1874,2620,28,48,53,0,0,0,0,,
Special Purpose Fund,2,91,Crime Victims Fund,Crime Victims Fund,Office Expense,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,127,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,91,Crime Victims Fund,Crime Victims Fund,Equipment Purchase/Maintenance ,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,730,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,91,Crime Victims Fund,Crime Victims Fund,Service Charge ,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,91,Crime Victims Fund,Crime Victims Fund,Mileage/Witness Fees ,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,16,,751,73,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,91,Crime Victims Fund,Crime Victims Fund,Supplies,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,31,0,106,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,92,Tourism Fund,Tourism Fund,Miscellaneous,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,5000,5000,7200,5000,19000,5063,,,0,0,,0,0,0,0,0,0,0,0,0,0,3000,7141,0,11921,5062,,
Special Purpose Fund,2,93,Traffic Safety School Fund,Traffic Safety School Fund,Contractual,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,17616,17003,,12250,10850,19875,15500,19200,19025,12725,799,0,0,0,0,0,0,0,,
Special Purpose Fund,2,93,Traffic Safety School Fund,Traffic Safety School Fund,Supplies,,,State's Attorney,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,384,347,,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,94,Americans With Disabilities Fund ,Americans With Disabilities Fund ,Administration ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,94,Americans With Disabilities Fund ,Americans With Disabilities Fund ,Capital outlay ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,16225,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,95,Sheriff's Leads Account,Sheriff's Leads Account,Payments for Telecommunication Service,,,Sheriff,0,5000,,0,0,0,0,0,0,0,0,12000,12877,12000,12000,12000,12000,12000,,,1260,1374,,1374,1260,1488,5492,15082,4465,8598,10514,11943,10529,10569,10529,10535,10562,10529,,
Special Purpose Fund,2,95,Sheriff's Leads Account,Sheriff's Leads Account,Supplies,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,95,Sheriff's Leads Account,Sheriff's Leads Account,Equipment,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1467,0,,0,3012,1745,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,95,Sheriff's Leads Account,Sheriff's Leads Account,Miscellaneous,,,Sheriff,5000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,96,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,Supplies,,,Circuit Clerk,0,0,,0,0,9246,9246,9246,9854,2501,2500,10000,0,0,0,0,0,0,,,0,0,,0,0,499,391,1253,1163,90,0,2999,0,0,0,0,0,0,,
Special Purpose Fund,2,96,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,Repairs & Maintenance,,,Circuit Clerk,0,0,,0,0,0,0,0,0,2520,2520,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,96,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,Support Payments,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,6068,3300,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,96,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,Meetings & Conventions,,,Circuit Clerk,0,0,,0,0,3000,3000,3000,3000,3000,3000,0,0,0,0,0,0,0,,,0,0,,0,0,1019,474,265,37,33,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,96,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,Miscellaneous,,,Circuit Clerk,0,0,,0,0,0,0,0,0,7353,7354,7374,7374,17374,17374,0,0,17500,,,0,0,,0,0,969,977,268,460,50,55,72,359,306,233,127,853,89,,
Special Purpose Fund,2,96,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,Computer Maintenance Contract,,,Circuit Clerk,0,0,,0,0,2520,2520,2520,2520,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,96,Circuit Clerk - Maintenance & Child Support Fund,Circuit Clerk - Maintenance & Child Support Fund,Capital Outlay,,,Circuit Clerk,0,0,,0,0,2000,2000,2000,2000,2000,2000,0,10000,0,0,0,0,0,,,0,0,,0,0,1042,1046,0,0,0,203,0,1230,0,0,0,0,0,,
Special Purpose Fund,2,97,Macoupin County Cops Grant,Macoupin County Cops Grant,Public Safety,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,,,0,0,,0,0,0,0,125360,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,98,Central Macoupin County Rural Water,Central Macoupin County Rural Water,Commodities,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,174605,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,98,Central Macoupin County Rural Water,Central Macoupin County Rural Water,Contractual,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,103000,122395,23433,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,99,Circuit Clerk SDU Reimbursement Fund,Circuit Clerk SDU Reimbursement Fund,Supplies,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,99,Circuit Clerk SDU Reimbursement Fund,Circuit Clerk SDU Reimbursement Fund,Miscellaneous,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,180,0,25,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,99,Circuit Clerk SDU Reimbursement Fund,Circuit Clerk SDU Reimbursement Fund,Capital Outlay,,,Circuit Clerk,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,43495,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,100,South Central Illinois Drug Task Force contract #4482,South Central Illinois Drug Task Force contract #4482,Capital outlay ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,5166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,101,South Central Illinois Drug Task Force - Contract #4614,South Central Illinois Drug Task Force - Contract #4614,Personal services ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,21779,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,101,South Central Illinois Drug Task Force - Contract #4614,South Central Illinois Drug Task Force - Contract #4614,Contractual,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,4129,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,101,South Central Illinois Drug Task Force - Contract #4614,South Central Illinois Drug Task Force - Contract #4614,Supplies ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,216,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Personnel services ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19885,69339,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Contractual,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5428,29569,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Travel ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,849,895,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Commodities ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Supplies ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,389,2030,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,102,South Central Illinois Drug Task Force - Contract #4514,South Central Illinois Drug Task Force - Contract #4514,Capital outlay ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,103,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,Personnel servcies,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,41777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,103,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,Contractual,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,43834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,103,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,Travel ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,103,South Central Illinois Drug Task Force - Contract #4714,South Central Illinois Drug Task Force - Contract #4714,Supplies ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,104,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,Personnel services ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,67531,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,104,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,Contractual,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21911,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,104,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,Travel ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,104,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,Commodities ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,104,South Central Illinois Drug Task Force - Contract #4418,South Central Illinois Drug Task Force - Contract #4418,Supplies ,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,768,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,105,Problem Solving Partnership Fund ,Problem Solving Partnership Fund ,Salaries and related expenses,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,23224,9290,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,105,Problem Solving Partnership Fund ,Problem Solving Partnership Fund ,Contractual ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,885,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,105,Problem Solving Partnership Fund ,Problem Solving Partnership Fund ,Supplies ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,4902,389,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,105,Problem Solving Partnership Fund ,Problem Solving Partnership Fund ,Capital Outlay ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,11938,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,105,Problem Solving Partnership Fund ,Problem Solving Partnership Fund ,Travel ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,106,Building Commission Fund ,Building Commission Fund ,Interest ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,38213,23981,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,106,Building Commission Fund ,Building Commission Fund ,Fees ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,850,1452,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,106,Building Commission Fund ,Building Commission Fund ,Insurance ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7945,7776,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,106,Building Commission Fund ,Building Commission Fund ,Repairs and maintenance,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3300,4887,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,106,Building Commission Fund ,Building Commission Fund ,Miscellaneous ,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,47,1237,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,107,South Central Illinois Drug Task Force Fund,South Central Illinois Drug Task Force Fund,Personnel Services,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,250000,254525,118009,118009,118009,118009,118009,,,0,0,,0,56038,55304,58496,59212,34007,82893,121672,137197,166869,115435,92350,82108,91596,83593,,
Special Purpose Fund,2,107,South Central Illinois Drug Task Force Fund,South Central Illinois Drug Task Force Fund,Contractual,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,,,0,0,,0,40335,43639,39832,42213,41554,68337,34883,57005,0,0,0,0,0,0,,
Special Purpose Fund,2,107,South Central Illinois Drug Task Force Fund,South Central Illinois Drug Task Force Fund,Travel,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,1000,1506,1955,1955,1955,1833,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,107,South Central Illinois Drug Task Force Fund,South Central Illinois Drug Task Force Fund,Commodities,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,59485,0,0,0,0,0,0,,,0,0,,0,2401,2253,2950,2950,2001,3153,5853,23135,0,0,0,0,0,0,,
Special Purpose Fund,2,107,South Central Illinois Drug Task Force Fund,South Central Illinois Drug Task Force Fund,Equipment,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,452,531,13125,13272,12454,33797,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,108,Recorder's GIS Fund,Recorder's GIS Fund,General Government,,,County Clerk,0,0,,0,0,0,0,0,0,0,25000,45000,50000,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,799,22566,0,0,0,0,0,,
Special Purpose Fund,2,109,Assessor's GIS Fund,Assessor's GIS Fund,General Government,,,Supervisor of Assessments,0,0,,0,0,0,0,0,0,0,100000,100000,250000,369040,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,3329,59800,160177,83223,0,0,0,0,,
Special Purpose Fund,2,110,Public Safety Fund,Public Safety Fund,Public Safety,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,500,86650,10152,228674,,
Special Purpose Fund,2,111,DUI Equipment Fund,DUI Equipment Fund,Capital Outlay,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,4000,4000,4000,4000,4000,4000,4000,,,0,0,,0,0,0,0,0,0,0,3864,828,0,1590,0,1000,1450,0,,
Special Purpose Fund,2,112,CDAP Fund,CDAP Fund,Capital Development,,,County Board Office,0,0,,0,0,0,0,0,0,0,0,0,37900,40000,350000,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,50000,23709,326286,0,0,0,,
Health Fund,4,113,County Health Commcare Fund,County Health Commcare Fund,Health & Welfare,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,90000,120200,433000,520000,735620,444627,0,,,0,0,,0,0,0,0,0,0,10130,17711,24015,130603,396508,164501,185051,213140,0,,
Special Purpose Fund,2,114,Sheriff's Federal Drug Fund,Sheriff's Federal Drug Fund,Public Safety,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,8000,5000,6000,6000,5000,5000,5000,,,0,0,,0,0,0,0,0,0,0,7625,0,0,5144,0,0,0,0,,
Special Purpose Fund,2,115,Coroner's Equipment Fund,Coroner's Equipment Fund,Capital Outlay,,,Coroner,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,1236,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,116,Arrestees' Medical Costs,Arrestees' Medical Costs,Public Safety,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,8000,20000,20000,20000,20000,20000,18600,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Special Purpose Fund,2,117,Tax Sale In Error Interest,Tax Sale In Error Interest,Miscellaneous,,,County Tax Expenses,0,0,,0,0,0,0,0,0,0,2000,8200,12000,10000,40000,35000,27000,21275,,,0,0,,0,0,0,0,0,0,0,1963,5209,4513,6043,4032,4773,6084,21272,,
Special Purpose Fund,2,118,Health Insurance Fund,Health Insurance Fund,Insurance,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,0,70000,75000,75000,75000,75000,75000,,,0,0,,0,0,0,0,0,0,0,0,37696,63951,72456,45407,47916,48905,38497,,
Special Purpose Fund,2,119,Grant Fund,Grant Fund,Grant Expense,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,350000,128000,100000,75000,75000,75000,134094,,,0,0,,0,0,0,0,0,0,0,0,303210,101254,52842,40852,29517,35000,113403,,
Special Purpose Fund,2,119,Grant Fund,Grant Fund,Grant Expense,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18854,,
Special Purpose Fund,2,119,Grant Fund,Grant Fund,Grant Expense,,,Countywide Expense,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132933,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132933,,
Special Purpose Fund,2,120,Pet Population Control Fund,Pet Population Control Fund,Neutering Expense,,,Animal Control Adminstrator,0,0,,0,0,0,0,0,0,0,0,2000,14000,9000,19000,24000,24000,24000,,,0,0,,0,0,0,0,0,0,0,0,2000,11067,8073,12640,9267,5675,14941,,
Special Purpose Fund,2,121,Police Vehicle Fund,Police Vehicle Fund,Cash Disbursements,,,Sheriff,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Health Fund,4,122,Public Transportation,Public Transportation,Public Transportation,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,159629,0,,
Health Fund,4,122,Public Transportation,Public Transportation,Health & Welfare,,,Public Health Adminstrator,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,,
